,word,transcript,neighbours
23,"['а', 'к', 'а', 'д', 'е', 'м', 'и', 'ч', 'е', 'с', 'к', 'о', 'й']","['a', 'k', 'a', ""d'"", 'i', ""m'"", 'i', 'ch', 'i', 's', 'k', 'a', 'j']",[]
24,"['а', 'к', 'к', 'у', 'р', 'а', 'т', 'н', 'а', 'я']","['a', 'k', 'u', 'r', 'a', 't', 'n', 'a', 'j', 'a']",[]
25,"['а', 'к', 'к', 'у', 'р', 'а', 'т', 'н', 'о']","['a', 'k', 'u', 'r', 'a', 't', 'n', 'a']",[]
26,"['а', 'к', 'к', 'у', 'р', 'а', 'т', 'н', 'ы', 'й']","['a', 'k', 'u', 'r', 'a', 't', 'n', 'y', 'j']",[]
27,"['а', 'к', 'с', 'и', 'о', 'м', 'у']","['a', 'k', ""s'"", 'i', 'o', 'm', 'u']",[]
28,"['а', 'л', 'е', 'б', 'а', 'с', 'т', 'р', 'о', 'м']","['a', ""l'"", 'i', 'b', 'a', 's', 't', 'r', 'a', 'm']",[]
29,"['а', 'л', 'е', 'к', 'с', 'е', 'е', 'в', 'и', 'ч']","['a', ""l'"", 'i', 'k', ""s'"", 'e', 'j', 'i', ""v'"", 'i', 'ch']","[['a', ""l'"", 'i', 'k', ""s'"", 'e', 'j', 'i', ""v'"", 'i', 'ch', 'a']]"
30,"['а', 'л', 'е', 'к', 'с', 'е', 'е', 'в', 'и', 'ч', 'а']","['a', ""l'"", 'i', 'k', ""s'"", 'e', 'j', 'i', ""v'"", 'i', 'ch', 'a']","[['a', ""l'"", 'i', 'k', ""s'"", 'e', 'j', 'i', ""v'"", 'i', 'ch']]"
31,"['а', 'л', 'е', 'к', 'с', 'е', 'е', 'в', 'и', 'ч', 'е', 'м']","['a', ""l'"", 'i', 'k', ""s'"", 'e', 'j', 'i', ""v'"", 'i', 'ch', 'i', 'm']",[]
32,"['а', 'л', 'е', 'к', 'с', 'е', 'е', 'в', 'н', 'а']","['a', ""l'"", 'i', 'k', ""s'"", 'e', 'j', 'i', 'v', 'n', 'a']","[['a', ""l'"", 'i', 'k', ""s'"", 'e', 'i', 'v', 'n', 'y']]"
33,"['а', 'л', 'е', 'к', 'с', 'е', 'е', 'в', 'н', 'о', 'й']","['a', ""l'"", 'i', 'k', ""s'"", 'e', 'j', 'i', 'v', 'n', 'a', 'j']",[]
34,"['а', 'л', 'е', 'к', 'с', 'е', 'е', 'в', 'н', 'ы']","['a', ""l'"", 'i', 'k', ""s'"", 'e', 'i', 'v', 'n', 'y']","[['a', ""l'"", 'i', 'k', ""s'"", 'e', 'j', 'i', 'v', 'n', 'a']]"
35,"['а', 'л', 'е', 'к', 'с', 'е', 'й']","['a', ""l'"", 'i', 'k', ""s'"", 'e', 'j']","[['a', ""l'"", 'i', 'k', ""s'"", 'e', 'j', 'a']]"
36,"['а', 'л', 'е', 'к', 'с', 'е', 'я']","['a', ""l'"", 'i', 'k', ""s'"", 'e', 'j', 'a']","[['a', ""l'"", 'i', 'k', ""s'"", 'e', 'j']]"
37,"['а', 'л', 'е', 'к', 'с', 'и', 'н']","['a', ""l'"", 'e', 'k', ""s'"", 'i', 'n']",[]
38,"['а', 'л', 'и', 'к']","['a', ""l'"", 'i', 'k']",[]
39,"['а', 'м', 'б', 'и', 'ц', 'и', 'я']","['a', 'm', ""b'"", 'i', 'c', 'y', 'j', 'a']",[]
40,"['а', 'н']","['a', 'n']","[['a', 'h'], ['o', 'n']]"
41,"['а', 'н', 'а', 'л', 'о', 'г', 'и', 'ч', 'н', 'о', 'г', 'о']","['a', 'n', 'a', 'l', 'a', ""g'"", 'i', 'ch', 'n', 'a', 'v', 'a']",[]
42,"['а', 'н', 'а', 'т', 'о', 'л', 'и', 'й']","['a', 'n', 'a', 't', 'o', ""l'"", 'i', 'j']",[]
43,"['а', 'н', 'г', 'л', 'и', 'й', 'с', 'к', 'и', 'й']","['a', 'n', 'g', ""l'"", 'i', 'j', 's', ""k'"", 'i', 'j']","[['a', 'n', 'g', ""l'"", 'i', 'j', 's', ""k'"", 'i', 'm'], ['a', 'n', 'g', ""l'"", 'i', 'j', 's', ""k'"", 'i', 'h']]"
44,"['а', 'н', 'г', 'л', 'и', 'й', 'с', 'к', 'и', 'м']","['a', 'n', 'g', ""l'"", 'i', 'j', 's', ""k'"", 'i', 'm']","[['a', 'n', 'g', ""l'"", 'i', 'j', 's', ""k'"", 'i', 'h'], ['a', 'n', 'g', ""l'"", 'i', 'j', 's', ""k'"", 'i', 'j']]"
45,"['а', 'н', 'г', 'л', 'и', 'й', 'с', 'к', 'и', 'х']","['a', 'n', 'g', ""l'"", 'i', 'j', 's', ""k'"", 'i', 'h']","[['a', 'n', 'g', ""l'"", 'i', 'j', 's', ""k'"", 'i', 'm'], ['a', 'n', 'g', ""l'"", 'i', 'j', 's', ""k'"", 'i', 'j']]"
46,"['а', 'н', 'г', 'л', 'и', 'й', 'с', 'к', 'о', 'г', 'о']","['a', 'n', 'g', ""l'"", 'i', 'j', 's', 'k', 'a', 'v', 'a']",[]
47,"['а', 'н', 'д', 'р', 'е', 'е', 'в', 'н', 'а']","['a', 'n', 'd', ""r'"", 'e', 'i', 'v', 'n', 'a']",[]
48,"['а', 'н', 'д', 'р', 'ю', 'ш', 'е']","['a', 'n', 'd', ""r'"", 'u', 'sh', 'y']",[]
49,"['а', 'н', 'т', 'о', 'н', 'и', 'н', 'ы']","['a', 'n', 't', 'a', ""n'"", 'i', 'n', 'y']",[]
50,"['а', 'п', 'о', 'п', 'л', 'е', 'к', 'с', 'и', 'ч', 'е', 'с', 'к', 'и', 'м']","['a', 'p', 'a', 'p', ""l'"", 'i', 'k', ""s'"", 'i', 'ch', 'i', 's', ""k'"", 'i', 'm']",[]
51,"['а', 'п', 'п', 'а', 'р', 'а', 'т']","['a', 'p', 'a', 'r', 'a', 't']",[]
52,"['а', 'р', 'б', 'и', 'т', 'р', 'а']","['a', 'r', ""b'"", 'i', 't', 'r', 'a']",[]
53,"['а', 'р', 'г', 'е', 'н', 'т', 'и', 'н', 'с', 'к', 'о', 'й']","['a', 'r', ""g'"", 'i', ""n'"", ""t'"", 'i', 'n', 's', 'k', 'a', 'j']",[]
54,"['а', 'р', 'и', 'и']","['a', ""r'"", 'i', 'i']","[['a', ""r'"", 'i', 'j'], ['a', 'r', ""k'"", 'i'], ['a', ""r'"", 'i', 'j', 'u']]"
55,"['а', 'р', 'и', 'й']","['a', ""r'"", 'i', 'j']","[['a', ""r'"", 'i', 'i'], ['a', ""r'"", 'i', 'j', 'u'], ['j', 'u', ""r'"", 'i', 'j']]"
56,"['а', 'р', 'и', 'ю']","['a', ""r'"", 'i', 'j', 'u']","[['a', ""r'"", 'i', 'i'], ['a', ""r'"", 'i', 'j']]"
57,"['а', 'р', 'к', 'и']","['a', 'r', ""k'"", 'i']","[['a', ""r'"", 'i', 'i']]"
58,"['а', 'р', 'т', 'и', 'с', 'т', 'о', 'в']","['a', 'r', ""t'"", 'i', 's', 't', 'a', 'f']",[]
59,"['а', 'р', 'т', 'и', 'с', 'т', 'ы']","['a', 'r', ""t'"", 'i', 's', 't', 'y']",[]
60,"['а', 'р', 'х', 'и', 'т', 'е', 'к', 'т', 'о', 'р']","['a', 'r', ""h'"", 'i', ""t'"", 'e', 'k', 't', 'a', 'r']","[['a', 'r', ""h'"", 'i', ""t'"", 'e', 'k', 't', 'a', 'r', 'y']]"
61,"['а', 'р', 'х', 'и', 'т', 'е', 'к', 'т', 'о', 'р', 'ы']","['a', 'r', ""h'"", 'i', ""t'"", 'e', 'k', 't', 'a', 'r', 'y']","[['a', 'r', ""h'"", 'i', ""t'"", 'e', 'k', 't', 'a', 'r']]"
62,"['а', 'р', 'х', 'и', 'т', 'е', 'к', 'т', 'у', 'р', 'а']","['a', 'r', ""h'"", 'i', ""t'"", 'i', 'k', 't', 'u', 'r', 'a']",[]
63,"['а', 'р', 'х', 'и', 'т', 'е', 'к', 'т', 'у', 'р', 'н', 'а', 'я']","['a', 'r', ""h'"", 'i', ""t'"", 'i', 'k', 't', 'u', 'r', 'n', 'a', 'j', 'a']",[]
64,"['а', 'р', 'х', 'и', 'т', 'е', 'к', 'т', 'у', 'р', 'н', 'о', 'й']","['a', 'r', ""h'"", 'i', ""t'"", 'i', 'k', 't', 'u', 'r', 'n', 'a', 'j']",[]
65,"['а', 'с', 'п', 'и', 'р', 'а', 'н', 'т', 'у', 'р', 'е']","['a', 's', ""p'"", 'i', 'r', 'a', 'n', 't', 'u', ""r'"", 'i']","[['a', 's', ""p'"", 'i', 'r', 'a', 'n', 't', 'u', 'r', 'u']]"
66,"['а', 'с', 'п', 'и', 'р', 'а', 'н', 'т', 'у', 'р', 'у']","['a', 's', ""p'"", 'i', 'r', 'a', 'n', 't', 'u', 'r', 'u']","[['a', 's', ""p'"", 'i', 'r', 'a', 'n', 't', 'u', ""r'"", 'i']]"
67,"['а', 'с', 'с', 'е', 'н', 'и', 'з', 'а', 'т', 'о', 'р', 'а', 'м', 'и']","['a', ""s'"", 'i', ""n'"", 'i', 'z', 'a', 't', 'a', 'r', 'a', ""m'"", 'i']",[]
68,"['а', 'у', 'д', 'и', 'е', 'н', 'ц', 'и', 'и']","['a', 'u', ""d'"", 'i', 'j', 'e', 'n', 'c', 'y', 'i']",[]
69,"['а', 'х']","['a', 'h']","[['i', 'h'], ['a', 'n']]"
70,"['а', 'х', 'н', 'у', 'л', 'а']","['a', 'h', 'n', 'u', 'l', 'a']","[['m', 'a', 'h', 'n', 'u', 'l', 'a']]"
71,"['б', 'а', 'б', 'а']","['b', 'a', 'b', 'a']",[]
72,"['б', 'а', 'б', 'у', 'ш', 'к', 'а']","['b', 'a', 'b', 'u', 'sh', 'k', 'a']","[['b', 'a', 'b', 'u', 'sh', ""k'"", 'i']]"
73,"['б', 'а', 'б', 'у', 'ш', 'к', 'и']","['b', 'a', 'b', 'u', 'sh', ""k'"", 'i']","[['b', 'a', 'b', 'u', 'sh', 'k', 'a']]"
74,"['б', 'а', 'з', 'а', 'р', 'о', 'м']","['b', 'a', 'z', 'a', 'r', 'a', 'm']",[]
75,"['б', 'а', 'з', 'е']","['b', 'a', ""z'"", 'i']",[]
76,"['б', 'а', 'л', 'а', 'г', 'а', 'н', 'а', 'м', 'и']","['b', 'a', 'l', 'a', 'g', 'a', 'n', 'a', ""m'"", 'i']",[]
77,"['б', 'а', 'л', 'б', 'е', 'с', 'а']","['b', 'a', 'l', ""b'"", 'e', 's', 'a']",[]
78,"['б', 'а', 'л', 'к', 'о', 'н']","['b', 'a', 'l', 'k', 'o', 'n']","[['b', 'a', 'l', 'k', 'o', 'n', 'a'], ['b', 'a', 'l', 'k', 'o', ""n'"", 'i']]"
79,"['б', 'а', 'л', 'к', 'о', 'н', 'а']","['b', 'a', 'l', 'k', 'o', 'n', 'a']","[['b', 'a', 'l', 'k', 'o', 'n'], ['b', 'a', 'l', 'k', 'o', ""n'"", 'i']]"
80,"['б', 'а', 'л', 'к', 'о', 'н', 'е']","['b', 'a', 'l', 'k', 'o', ""n'"", 'i']","[['b', 'a', 'l', 'k', 'o', 'n', 'a'], ['b', 'a', 'l', 'k', 'o', 'n']]"
81,"['б', 'а', 'л', 'к', 'о', 'н', 'н', 'о', 'й']","['b', 'a', 'l', 'k', 'o', 'n', 'n', 'a', 'j']",[]
82,"['б', 'а', 'л', 'к', 'о', 'н', 'н', 'у', 'ю']","['b', 'a', 'l', 'k', 'o', 'n', 'n', 'u', 'j', 'u']",[]
83,"['б', 'а', 'м', 'б', 'у', 'к']","['b', 'a', 'm', 'b', 'u', 'k']",[]
84,"['б', 'а', 'н', 'о', 'к']","['b', 'a', 'n', 'a', 'k']",[]
85,"['б', 'а', 'с', 'н', 'о', 'с', 'л', 'о', 'в', 'н', 'ы', 'е']","['b', 'a', 's', 'n', 'a', 's', 'l', 'o', 'v', 'n', 'y', 'j', 'i']",[]
86,"['б', 'а', 'т', 'у', 'м']","['b', 'a', 't', 'u', 'm']",[]
87,"['б', 'а', 'ш', 'н', 'и']","['b', 'a', 'sh', ""n'"", 'i']",[]
88,"['б', 'д', 'е', 'н', 'и', 'ю']","['b', ""d'"", 'e', ""n'"", 'i', 'j', 'u']",[]
89,"['б', 'е', 'г', 'а', 'л']","[""b'"", 'e', 'g', 'a', 'l']","[[""b'"", 'i', 'zh', 'a', 'l']]"
90,"['б', 'е', 'г', 'и', 'т', 'е']","[""b'"", 'i', ""g'"", 'i', ""t'"", 'i']",[]
91,"['б', 'е', 'г', 'л', 'о']","[""b'"", 'e', 'g', 'l', 'a']",[]
92,"['б', 'е', 'д', 'н', 'о', 'с', 'т', 'ь']","[""b'"", 'e', 'd', 'n', 'a', ""s'"", ""t'""]",[]
93,"['б', 'е', 'д', 'н', 'я', 'г', 'а']","[""b'"", 'i', ""d'"", ""n'"", 'a', 'g', 'a']","[[""b'"", 'i', ""d'"", ""n'"", 'a', 'g', 'a', 'm']]"
94,"['б', 'е', 'д', 'н', 'я', 'г', 'а', 'м']","[""b'"", 'i', ""d'"", ""n'"", 'a', 'g', 'a', 'm']","[[""b'"", 'i', ""d'"", ""n'"", 'a', 'g', 'a']]"
95,"['б', 'е', 'ж', 'а', 'л']","[""b'"", 'i', 'zh', 'a', 'l']","[[""b'"", 'i', 'zh', 'a', ""l'"", 'i'], ['z', ""b'"", 'i', 'zh', 'a', 'l'], [""b'"", 'e', 'g', 'a', 'l'], [""l'"", 'i', 'zh', 'a', 'l']]"
96,"['б', 'е', 'ж', 'а', 'л', 'и']","[""b'"", 'i', 'zh', 'a', ""l'"", 'i']","[[""b'"", 'i', 'zh', 'a', 'l'], [""l'"", 'i', 'zh', 'a', ""l'"", 'i']]"
97,"['б', 'е', 'ж', 'и', 'т']","[""b'"", 'i', 'zh', 'y', 't']","[[""l'"", 'i', 'zh', 'y', 't']]"
98,"['б', 'е', 'з']","[""b'"", 'i', 's']",[]
99,"['б', 'е', 'з', 'в', 'ы', 'х', 'о', 'д', 'н', 'о', 'е']","[""b'"", 'i', 'z', 'v', 'y', 'h', 'a', 'd', 'n', 'a', 'j', 'i']","[[""b'"", 'i', 'z', 'v', 'y', 'h', 'a', 'd', 'n', 'a', 'm']]"
100,"['б', 'е', 'з', 'в', 'ы', 'х', 'о', 'д', 'н', 'о', 'м']","[""b'"", 'i', 'z', 'v', 'y', 'h', 'a', 'd', 'n', 'a', 'm']","[[""b'"", 'i', 'z', 'v', 'y', 'h', 'a', 'd', 'n', 'a', 'j', 'i']]"
101,"['б', 'е', 'з', 'в', 'ы', 'х', 'о', 'д', 'н', 'ы', 'х']","[""b'"", 'i', 'z', 'v', 'y', 'h', 'a', 'd', 'n', 'y', 'h']",[]
102,"['б', 'е', 'з', 'д', 'о', 'к', 'а', 'з', 'а', 'т', 'е', 'л', 'ь', 'н', 'о']","[""b'"", 'i', 'z', 'd', 'a', 'k', 'a', 'z', 'a', ""t'"", 'i', ""l'"", 'n', 'a']",[]
103,"['б', 'е', 'з', 'д', 'о', 'н', 'к', 'у']","[""b'"", 'i', 'z', 'd', 'o', 'n', 'k', 'u']",[]
104,"['б', 'е', 'з', 'н', 'а', 'д', 'е', 'ж', 'е', 'н']","[""b'"", 'i', 'z', 'n', 'a', ""d'"", 'o', 'zh', 'y', 'n']",[]
105,"['б', 'е', 'з', 'н', 'а', 'д', 'е', 'ж', 'н', 'о']","[""b'"", 'i', 'z', 'n', 'a', ""d'"", 'o', 'zh', 'n', 'a']",[]
106,"['б', 'е', 'з', 'н', 'р', 'а', 'в', 'с', 'т', 'в', 'е', 'н', 'н', 'е', 'е']","[""b'"", 'i', 'z', 'n', 'r', 'a', 'f', 's', 't', ""v'"", 'i', ""n'"", 'i', 'j', 'i']",[]
107,"['б', 'е', 'з', 'о', 'т', 'н', 'о', 'с', 'и', 'т', 'е', 'л', 'ь', 'н', 'о']","[""b'"", 'i', 'z', 'a', 't', 'n', 'a', ""s'"", 'i', ""t'"", 'i', ""l'"", 'n', 'a']",[]
108,"['б', 'е', 'з', 'о', 'т', 'ч', 'е', 'т', 'н', 'ы', 'х']","[""b'"", 'i', 'z', 'a', 'ch', 'o', 't', 'n', 'y', 'h']",[]
109,"['б', 'е', 'з', 'у', 'м', 'и', 'е', 'м']","[""b'"", 'i', 'z', 'u', ""m'"", 'i', 'j', 'i', 'm']",[]
110,"['б', 'е', 'з', 'у', 'м', 'н', 'о', 'е']","[""b'"", 'i', 'z', 'u', 'm', 'n', 'a', 'j', 'i']",[]
111,"['б', 'е', 'з', 'у', 'с', 'л', 'о', 'в', 'н', 'о']","[""b'"", 'i', 'z', 'u', 's', 'l', 'o', 'v', 'n', 'a']",[]
112,"['б', 'е', 'з', 'у', 'ч', 'а', 'с', 'т', 'н', 'о']","[""b'"", 'i', 'z', 'u', 'ch', 'a', 's', 'n', 'a']",[]
113,"['б', 'е', 'з', 'у', 'ч', 'а', 'с', 'т', 'н', 'о', 'с', 'т', 'ь']","[""b'"", 'i', 'z', 'u', 'ch', 'a', 's', 'n', 'a', ""s'"", ""t'""]",[]
114,"['б', 'е', 'л', 'а', 'я']","[""b'"", 'e', 'l', 'a', 'i']","[[""d'"", 'e', 'l', 'a', 'j', 'a']]"
115,"['б', 'е', 'л', 'е', 'е', 'т']","[""b'"", 'i', ""l'"", 'e', 'i', 't']",[]
116,"['б', 'е', 'л', 'е', 'л', 'а']","[""b'"", 'i', ""l'"", 'e', 'l', 'a']","[['b', 'a', ""l'"", 'e', 'l', 'a']]"
117,"['б', 'е', 'л', 'и', 'з', 'н', 'о', 'й']","[""b'"", 'i', ""l'"", 'i', 'z', 'n', 'o', 'j']",[]
118,"['б', 'е', 'л', 'о', 'к', 'и', 'р', 'п', 'и', 'ч', 'н', 'о', 'г', 'о']","[""b'"", 'i', 'l', 'a', ""k'"", 'i', 'r', ""p'"", 'i', 'ch', 'n', 'a', 'v', 'a']",[]
119,"['б', 'е', 'л', 'о', 'г', 'о']","[""b'"", 'e', 'l', 'a', 'v', 'a']",[]
120,"['б', 'е', 'л', 'о', 'е']","[""b'"", 'e', 'l', 'a', 'j']","[[""b'"", 'e', 'l', 'y', 'i']]"
121,"['б', 'е', 'л', 'о', 'к', 'р', 'о', 'в', 'и', 'я']","[""b'"", 'i', 'l', 'a', 'k', 'r', 'o', ""v'"", 'i', 'j', 'a']",[]
122,"['б', 'е', 'л', 'ы', 'е']","[""b'"", 'e', 'l', 'y', 'i']","[['c', 'e', 'l', 'y', 'j', 'i'], [""b'"", 'e', 'l', 'a', 'j'], [""b'"", 'e', 'l', 'y', 'h']]"
123,"['б', 'е', 'л', 'ы', 'м', 'и']","[""b'"", 'e', 'l', 'y', ""m'"", 'i']",[]
124,"['б', 'е', 'л', 'ы', 'х']","[""b'"", 'e', 'l', 'y', 'h']","[['c', 'e', 'l', 'y', 'h'], [""b'"", 'e', 'l', 'y', 'i']]"
125,"['б', 'е', 'л', 'ь', 'г', 'и', 'и']","[""b'"", 'e', ""l'"", ""g'"", 'i', 'i']",[]
126,"['б', 'е', 'р', 'е', 'г']","[""b'"", 'e', ""r'"", 'i', 'k']","[[""b'"", 'e', ""r'"", 'i', 'g', 'a'], [""b'"", 'i', ""r'"", 'o', 't'], [""b'"", 'e', ""r'"", 'i', 'g', 'u'], [""b'"", 'i', ""r'"", 'o', 's']]"
127,"['б', 'е', 'р', 'е', 'г', 'а']","[""b'"", 'e', ""r'"", 'i', 'g', 'a']","[[""b'"", 'e', ""r'"", 'i', 'k'], [""b'"", 'e', ""r'"", 'i', 'g', 'u']]"
128,"['б', 'е', 'р', 'е', 'г', 'а', 'м', 'и']","[""b'"", 'i', ""r'"", 'i', 'g', 'a', ""m'"", 'i']",[]
129,"['б', 'е', 'р', 'е', 'г', 'о', 'м']","[""b'"", 'e', ""r'"", 'i', 'g', 'a', 'm']",[]
130,"['б', 'е', 'р', 'е', 'г', 'у']","[""b'"", 'e', ""r'"", 'i', 'g', 'u']","[[""b'"", 'e', ""r'"", 'i', 'g', 'a'], [""b'"", 'i', ""r'"", 'i', 'g', 'u', 't'], [""b'"", 'e', ""r'"", 'i', 'k']]"
131,"['б', 'е', 'р', 'е', 'г', 'у', 'т']","[""b'"", 'i', ""r'"", 'i', 'g', 'u', 't']","[[""b'"", 'e', ""r'"", 'i', 'g', 'u']]"
132,"['б', 'е', 'р', 'е', 'ж', 'е', 'т']","[""b'"", 'i', ""r'"", 'i', 'zh', 'o', 't']",[]
133,"['б', 'е', 'р', 'е', 'ж', 'н', 'о']","[""b'"", 'e', ""r'"", 'i', 'zh', 'n', 'a']",[]
134,"['б', 'е', 'р', 'е', 'з']","[""b'"", 'i', ""r'"", 'o', 's']","[[""b'"", 'i', ""r'"", 'o', 't'], [""b'"", 'i', ""r'"", 'o', 'z', 'y'], ['ch', 'e', ""r'"", 'i', 's'], [""b'"", 'e', ""r'"", 'i', 'k']]"
135,"['б', 'е', 'р', 'е', 'з', 'к', 'а', 'м', 'и']","[""b'"", 'i', ""r'"", 'o', 's', 'k', 'a', ""m'"", 'i']",[]
136,"['б', 'е', 'р', 'е', 'з', 'о', 'й']","[""b'"", 'i', ""r'"", 'o', 'z', 'a', 'j']",[]
137,"['б', 'е', 'р', 'е', 'з', 'ы']","[""b'"", 'i', ""r'"", 'o', 'z', 'y']","[[""b'"", 'i', ""r'"", 'o', 's']]"
138,"['б', 'е', 'р', 'е', 'т']","[""b'"", 'i', ""r'"", 'e', 't']","[[""b'"", 'e', ""r'"", 'i', 'k'], [""b'"", 'i', ""r'"", 'o', 's']]"
139,"['б', 'е', 'р', 'е', 'т']","[""b'"", 'i', ""r'"", 'o', 't']","[[""b'"", 'e', ""r'"", 'i', 'k'], [""b'"", 'i', ""r'"", 'o', 's']]"
140,"['б', 'е', 'р', 'е', 'ч', 'ь']","[""b'"", 'i', ""r'"", 'e', 'ch']","[['z', ""b'"", 'i', ""r'"", 'e', 'ch']]"
141,"['б', 'е', 'с', 'е', 'д', 'у']","[""b'"", 'i', ""s'"", 'e', 'd', 'u']",[]
142,"['б', 'е', 'с', 'к', 'о', 'н', 'е', 'ч', 'н', 'о']","[""b'"", 'i', 's', 'k', 'a', ""n'"", 'e', 'ch', 'n', 'a']",[]
143,"['б', 'е', 'с', 'к', 'о', 'р', 'ы', 'с', 'т', 'н', 'о']","[""b'"", 'i', 's', 'k', 'a', 'r', 'y', 's', 'n', 'a']",[]
144,"['б', 'е', 'с', 'п', 'а', 'р', 'д', 'о', 'н', 'н', 'о']","[""b'"", 'i', 's', 'p', 'a', 'r', 'd', 'o', 'n', 'n', 'a']",[]
145,"['б', 'е', 'с', 'п', 'о', 'к', 'о', 'й', 'н', 'о', 'е']","[""b'"", 'i', 's', 'p', 'a', 'k', 'o', 'j', 'n', 'a', 'j', 'i']",[]
146,"['б', 'е', 'с', 'п', 'о', 'к', 'о', 'й', 'с', 'я']","[""b'"", 'i', 's', 'p', 'a', 'k', 'o', 'j', ""s'"", 'a']",[]
147,"['б', 'е', 'с', 'п', 'о', 'л', 'е', 'з', 'н', 'о']","[""b'"", 'i', 's', 'p', 'a', ""l'"", 'e', 'z', 'n', 'a']",[]
148,"['б', 'е', 'с', 'п', 'о', 'щ', 'а', 'д', 'н', 'о', 'с', 'т', 'и']","[""b'"", 'i', 's', 'p', 'a', 'sc', 'a', 'd', 'n', 'a', ""s'"", ""t'"", 'i']",[]
149,"['б', 'е', 'с', 'п', 'р', 'и', 'ч', 'и', 'н', 'н', 'а', 'я']","[""b'"", 'i', 's', 'p', ""r'"", 'i', 'ch', 'i', 'n', 'n', 'a', 'j', 'a']",[]
